Epochs(/10),Loss
1,3.2454
2,3.0597
3,3.0304
4,3.0229
5,3.0177
6,3.0144
7,3.0092
8,2.9924
9,2.9454
10,2.8663
11,2.7799
12,2.71
13,2.6485
14,2.5885
15,2.535
16,2.4883
17,2.4475
18,2.4074
19,2.3695
20,2.3354
21,2.3026
22,2.2698
23,2.2378
24,2.2079
25,2.1798
26,2.1531
27,2.1322
28,2.105
29,2.0825
30,2.0608
31,2.0406
32,2.0212
33,2.0026
34,1.985
35,1.9676
36,1.9529
37,1.9363
38,1.9211
39,1.9069
40,1.894
41,1.8808
42,1.868
43,1.8567
44,1.8451
45,1.8335
46,1.823
47,1.8127
48,1.8022
49,1.7929
50,1.7827
51,1.7738
52,1.7643
53,1.7551
54,1.7464
55,1.7379
56,1.7292
57,1.7225
58,1.7132
59,1.7057
60,1.6977
61,1.6901
62,1.6827
63,1.6754
64,1.6683
65,1.6628
66,1.6573
67,1.6502
68,1.6435
69,1.637
70,1.6311
71,1.6252
72,1.6194
73,1.6138
74,1.6082
75,1.6026
76,1.5972
77,1.5918
78,1.5864
79,1.5874
80,1.5781
81,1.5718
82,1.5664
83,1.5615
84,1.5566
85,1.552
86,1.5474
87,1.5431
88,1.538
89,1.5336
90,1.5296
91,1.5246
92,1.5217
93,1.5166
94,1.5119
95,1.5077
96,1.5034
97,1.4994
98,1.4956
99,1.4915
100,1.4887
101,1.4835
102,1.4796
103,1.4757
104,1.4736
105,1.4688
106,1.4646
107,1.4609
108,1.4584
109,1.4555
110,1.4505
111,1.4468
112,1.4432
113,1.4396
114,1.4364
115,1.4329
116,1.4305
117,1.4273
118,1.4233
119,1.4197
120,1.4166
121,1.4142
122,1.4102
123,1.4074
124,1.4051
125,1.4016
126,1.398
127,1.3949
128,1.394
129,1.3897
130,1.3858
131,1.3839
132,1.3809
133,1.3783
134,1.3744
135,1.3718
136,1.3711
137,1.3669
138,1.3638
139,1.3607
140,1.3615
141,1.3565
142,1.353
143,1.3503
144,1.3481
145,1.3464
146,1.3428
147,1.3403
148,1.3377
149,1.3357
150,1.3338
151,1.3311
152,1.3283
153,1.3257
154,1.3245
155,1.3211
156,1.3189
157,1.3191
158,1.315
159,1.3117
160,1.3102
161,1.3076
162,1.3061
163,1.3032
164,1.3014
165,1.2998
166,1.2969
167,1.2946
168,1.2924
169,1.2905
170,1.2906
171,1.287
172,1.2843
173,1.2823
174,1.2806
175,1.2797
176,1.2766
177,1.2748
178,1.2734
179,1.2717
